Ticker,AAPL,ABBV,AMZN,BAC,CAT,CVX,GE,GOOGL,GS,HON,JNJ,JPM,LLY,MA,MRK,MSFT,NVDA,PFE,V,XOM
AAPL,0.00019419806544442093,3.7501772335691553e-06,7.134562776853383e-05,6.393608381373157e-05,6.389219643840431e-05,-1.6848548701329847e-05,6.009409087609157e-05,7.781559169651965e-05,8.00689883808998e-05,3.729077334866365e-05,1.3889818549913632e-05,4.578676568677717e-05,9.040823279713101e-06,4.2037422885281295e-05,3.693171380748371e-05,2.2946141641394624e-05,6.317451634219714e-05,2.307573494675034e-05,4.5384746584241604e-05,-1.9262203277494646e-05
ABBV,3.7501772335691553e-06,0.00022779015101322177,-4.2296268384686806e-05,-1.408959058447591e-06,2.5867205088522403e-05,-1.1229063684356578e-05,2.0273828129715292e-05,1.5060741327883886e-05,6.3429119858705504e-06,2.650940877146661e-05,6.424726475276126e-05,1.117710596062818e-06,0.00010457858656080927,3.2654165278128256e-05,0.00010326647517863651,-1.938647318385116e-05,-1.700903059039726e-05,9.39827853719344e-05,3.736840403549901e-05,-9.889710827262763e-06
AMZN,7.134562776853383e-05,-4.2296268384686806e-05,0.0003519422966713858,6.281538091968531e-05,7.156065093984307e-05,-3.2218845843871455e-05,6.569214822383558e-05,0.00013777796626459612,8.857651395358306e-05,4.5536859789974045e-05,-2.9884062973048428e-05,6.446381367977868e-05,4.136154772510582e-06,6.231528363981918e-05,-1.1611340310598225e-05,8.204526984992149e-05,0.00012135097080099258,1.2915899062826245e-06,5.547784817132986e-05,-4.775074777232717e-05
BAC,6.393608381373157e-05,-1.408959058447591e-06,6.281538091968531e-05,0.0001813397965802565,9.010914500316798e-05,-9.986838508345639e-06,9.294331750775286e-05,5.3423052125288244e-05,0.0001340245503951884,5.8015200607787515e-05,-1.0764249722323763e-05,0.00013392756717746184,2.2314406986318426e-05,6.720726537672844e-05,1.4844305714830547e-05,3.420534482184184e-05,4.510646746312613e-05,2.445638267759847e-05,6.269690889757242e-05,-1.267504245080249e-05
CAT,6.389219643840431e-05,2.5867205088522403e-05,7.156065093984307e-05,9.010914500316798e-05,0.00045275953193995097,-2.3716326470337876e-05,0.00017342754251019275,0.0001396162980932167,0.000174517187414583,0.00010963482807372805,2.2431675393381426e-05,0.00011533208539774884,9.444011812026197e-05,-6.7501723365188956e-06,5.44318149223779e-05,-3.134187873471453e-05,0.00014522793252217867,4.973619288515992e-05,1.4911769298636797e-05,-1.7222091936342283e-05
CVX,-1.6848548701329847e-05,-1.1229063684356578e-05,-3.2218845843871455e-05,-9.986838508345639e-06,-2.3716326470337876e-05,0.00019429117808151183,-7.053096345259059e-05,-5.253420675742959e-05,-4.353029102078438e-05,-7.65568831980189e-06,3.6934638453405223e-07,-2.7315292785340417e-06,-3.839184810385582e-05,-7.2836295505012875e-06,1.5120819914181428e-05,-2.6217873141599204e-05,-4.6541168243505906e-05,1.2605695474898625e-05,-9.475000614330464e-06,0.00017760082800162503
GE,6.009409087609157e-05,2.0273828129715292e-05,6.569214822383558e-05,9.294331750775286e-05,0.00017342754251019275,-7.053096345259059e-05,0.00038522311222648854,9.95486565316854e-05,0.0001384994428673052,9.743241217279311e-05,1.7280618828189315e-05,9.967530583043728e-05,6.908536622338534e-05,1.7090112156486688e-05,5.191694239575544e-05,1.609674900684124e-05,0.00014776400340602003,2.0328823031739457e-05,1.878343268380722e-05,-8.45632536436407e-05
GOOGL,7.781559169651965e-05,1.5060741327883886e-05,0.00013777796626459612,5.3423052125288244e-05,0.0001396162980932167,-5.253420675742959e-05,9.95486565316854e-05,0.0003346788554189751,9.564064362911489e-05,1.637669522462358e-05,2.198634856210919e-05,5.9144698981526225e-05,8.424645929886189e-05,1.0175270153343435e-05,1.012159262488437e-05,1.7219701003340525e-05,0.00010304706003967902,2.1693103568435224e-05,1.6422437959507872e-05,-6.613942800089275e-05
GS,8.00689883808998e-05,6.3429119858705504e-06,8.857651395358306e-05,0.0001340245503951884,0.000174517187414583,-4.353029102078438e-05,0.0001384994428673052,9.564064362911489e-05,0.0002926816037555308,6.910620304902738e-05,-3.4620718887307047e-07,0.00015719430755349687,2.9009967832521577e-05,5.204602245724279e-05,1.9506695713352202e-05,5.361240436372184e-05,0.00014878208362492312,2.992059378486631e-05,5.59405941966888e-05,-4.929582014226098e-05
HON,3.729077334866365e-05,2.650940877146661e-05,4.5536859789974045e-05,5.8015200607787515e-05,0.00010963482807372805,-7.65568831980189e-06,9.743241217279311e-05,1.637669522462358e-05,6.910620304902738e-05,0.00019295392294105105,2.435415472575131e-05,5.4699540080291984e-05,5.715349725278433e-05,4.7489805998016964e-05,6.481271358788318e-05,-8.600111912192698e-06,2.3647721152617114e-05,5.528493786910183e-05,4.1270899704139596e-05,-5.235207340637486e-06
JNJ,1.3889818549913632e-05,6.424726475276126e-05,-2.9884062973048428e-05,-1.0764249722323763e-05,2.2431675393381426e-05,3.6934638453405223e-07,1.7280618828189315e-05,2.198634856210919e-05,-3.4620718887307047e-07,2.435415472575131e-05,0.00011112251899839204,-1.4281825587686136e-06,7.318238934363155e-05,8.068053382111341e-06,8.116170819054144e-05,-3.799103110699444e-05,-2.8219482183570695e-05,4.7150091809159715e-05,1.2096961254924106e-05,3.935589216596717e-06
JPM,4.578676568677717e-05,1.117710596062818e-06,6.446381367977868e-05,0.00013392756717746184,0.00011533208539774884,-2.7315292785340417e-06,9.967530583043728e-05,5.9144698981526225e-05,0.00015719430755349687,5.4699540080291984e-05,-1.4281825587686136e-06,0.00018292251087769014,4.504707723768811e-05,6.241717312589153e-05,2.6962507072018618e-05,3.307114268318911e-05,7.306105407464279e-05,2.001972748546162e-05,6.382548258244187e-05,-1.2512592759284836e-05
LLY,9.040823279713101e-06,0.00010457858656080927,4.136154772510582e-06,2.2314406986318426e-05,9.444011812026197e-05,-3.839184810385582e-05,6.908536622338534e-05,8.424645929886189e-05,2.9009967832521577e-05,5.715349725278433e-05,7.318238934363155e-05,4.504707723768811e-05,0.0005723788858632847,-1.71734195800333e-06,0.00014901695536653902,-1.128572570351985e-05,-3.3353569654705805e-06,0.00011978691075169408,2.5762838911872625e-05,-3.113822046126131e-05
MA,4.2037422885281295e-05,3.2654165278128256e-05,6.231528363981918e-05,6.720726537672844e-05,-6.7501723365188956e-06,-7.2836295505012875e-06,1.7090112156486688e-05,1.0175270153343435e-05,5.204602245724279e-05,4.7489805998016964e-05,8.068053382111341e-06,6.241717312589153e-05,-1.71734195800333e-06,0.00018937253742908484,3.990853023028689e-05,3.4738144680224065e-05,-7.039155111040793e-06,3.093650335414141e-05,0.0001647192399931121,-9.33041180912549e-06
MRK,3.693171380748371e-05,0.00010326647517863651,-1.1611340310598225e-05,1.4844305714830547e-05,5.44318149223779e-05,1.5120819914181428e-05,5.191694239575544e-05,1.012159262488437e-05,1.9506695713352202e-05,6.481271358788318e-05,8.116170819054144e-05,2.6962507072018618e-05,0.00014901695536653902,3.990853023028689e-05,0.0002865693948283374,-6.177790090636668e-05,-4.147273612841999e-05,0.00014179597907216813,4.4576506991422506e-05,1.2353095394685613e-05
MSFT,2.2946141641394624e-05,-1.938647318385116e-05,8.204526984992149e-05,3.420534482184184e-05,-3.134187873471453e-05,-2.6217873141599204e-05,1.609674900684124e-05,1.7219701003340525e-05,5.361240436372184e-05,-8.600111912192698e-06,-3.799103110699444e-05,3.307114268318911e-05,-1.128572570351985e-05,3.4738144680224065e-05,-6.177790090636668e-05,0.00024022940253738023,0.00011288356038373733,-2.2359318347336723e-05,3.484097461616259e-05,-3.708039698895528e-05
NVDA,6.317451634219714e-05,-1.700903059039726e-05,0.00012135097080099258,4.510646746312613e-05,0.00014522793252217867,-4.6541168243505906e-05,0.00014776400340602003,0.00010304706003967902,0.00014878208362492312,2.3647721152617114e-05,-2.8219482183570695e-05,7.306105407464279e-05,-3.3353569654705805e-06,-7.039155111040793e-06,-4.147273612841999e-05,0.00011288356038373733,0.00044923481578874175,-1.966805765374892e-05,-4.519252039164024e-06,-5.6980102282868305e-05
PFE,2.307573494675034e-05,9.39827853719344e-05,1.2915899062826245e-06,2.445638267759847e-05,4.973619288515992e-05,1.2605695474898625e-05,2.0328823031739457e-05,2.1693103568435224e-05,2.992059378486631e-05,5.528493786910183e-05,4.7150091809159715e-05,2.001972748546162e-05,0.00011978691075169408,3.093650335414141e-05,0.00014179597907216813,-2.2359318347336723e-05,-1.966805765374892e-05,0.00022620482385515218,2.9930636438331127e-05,2.878129940256199e-06
V,4.5384746584241604e-05,3.736840403549901e-05,5.547784817132986e-05,6.269690889757242e-05,1.4911769298636797e-05,-9.475000614330464e-06,1.878343268380722e-05,1.6422437959507872e-05,5.59405941966888e-05,4.1270899704139596e-05,1.2096961254924106e-05,6.382548258244187e-05,2.5762838911872625e-05,0.0001647192399931121,4.4576506991422506e-05,3.484097461616259e-05,-4.519252039164024e-06,2.9930636438331127e-05,0.00019380830647674205,-5.75449294608465e-06
XOM,-1.9262203277494646e-05,-9.889710827262763e-06,-4.775074777232717e-05,-1.267504245080249e-05,-1.7222091936342283e-05,0.00017760082800162503,-8.45632536436407e-05,-6.613942800089275e-05,-4.929582014226098e-05,-5.235207340637486e-06,3.935589216596717e-06,-1.2512592759284836e-05,-3.113822046126131e-05,-9.33041180912549e-06,1.2353095394685613e-05,-3.708039698895528e-05,-5.6980102282868305e-05,2.878129940256199e-06,-5.75449294608465e-06,0.00023662078264745815
